#,id,mag_r,u-g,g-r,r-i,i-z,z_spec,feat1,feat2,feat3,feat4,feat5
1237645879562928805,21.257841,2.922394,0.975140,1.367987,0.462747,0.752707,1.388758,0.957874,-0.663568,2.091986,0.423379
1237645942905504040,18.372978,2.446228,1.091461,0.417476,0.312523,0.164360,-0.322087,0.536001,-0.441083,-0.822532,-0.191153
1237645942905635180,19.472305,0.701849,0.804516,0.239599,0.238529,0.326150,0.329861,-1.009481,-0.989916,-1.367950,-0.493845
1237645942906224860,17.891615,1.076337,1.422028,0.476549,0.233835,0.274926,-0.607555,-0.677693,0.191183,-0.641399,-0.513048
1237645943978721520,20.256517,0.458494,3.192158,1.092657,0.606708,0.592983,0.794931,-1.225088,3.576865,1.247751,1.012290
1237645943978787138,18.830477,1.222472,0.450065,0.271197,0.077453,0.139108,-0.050770,-0.548220,-1.667865,-1.271063,-1.152770
1237645943978787212,18.901865,1.750677,1.075493,0.522766,0.341904,0.292775,-0.008434,-0.080242,-0.471625,-0.499685,-0.070962
1237645943978787238,18.192244,1.286476,0.616581,0.308274,0.228513,0.184006,-0.429270,-0.491514,-1.349374,-1.157375,-0.534819
1237645943978852526,17.918039,1.177824,0.887789,0.421629,0.257759,0.214906,-0.591885,-0.587777,-0.830642,-0.809798,-0.415180
1237645943978852865,19.520910,3.114000,1.967177,0.599485,0.327173,0.397742,0.358685,1.127632,1.233876,-0.264445,-0.131223
